,local_date,wifi_daily_countscans,wifi_daily_uniquedevices,wifi_daily_countscansmostuniquedevice,screen_daily_countepisodeunlock,screen_daily_episodepersensedminutesunlock,screen_daily_sumdurationunlock,screen_daily_maxdurationunlock,screen_daily_mindurationunlock,screen_daily_avgdurationunlock,screen_daily_stddurationunlock,screen_daily_firstuseafter00unlock,conversation_daily_minutessilence,conversation_daily_minutesnoise,conversation_daily_minutesvoice,conversation_daily_minutesunknown,conversation_daily_countconversation,conversation_daily_silencesensedfraction,conversation_daily_noisesensedfraction,conversation_daily_voicesensedfraction,conversation_daily_unknownsensedfraction,conversation_daily_silenceexpectedfraction,conversation_daily_noiseexpectedfraction,conversation_daily_voiceexpectedfraction,conversation_daily_unknownexpectedfraction,conversation_daily_sumconversationduration,conversation_daily_avgconversationduration,conversation_daily_sdconversationduration,conversation_daily_minconversationduration,conversation_daily_maxconversationduration,conversation_daily_timefirstconversation,conversation_daily_timelastconversation,conversation_daily_noisesumenergy,conversation_daily_noiseavgenergy,conversation_daily_noisesdenergy,conversation_daily_noiseminenergy,conversation_daily_noisemaxenergy,conversation_daily_voicesumenergy,conversation_daily_voiceavgenergy,conversation_daily_voicesdenergy,conversation_daily_voiceminenergy,conversation_daily_voicemaxenergy,call_outgoing_daily_count,call_outgoing_daily_distinctcontacts,call_outgoing_daily_meanduration,call_outgoing_daily_sumduration,call_outgoing_daily_minduration,call_outgoing_daily_maxduration,call_outgoing_daily_stdduration,call_outgoing_daily_modeduration,call_outgoing_daily_entropyduration,call_outgoing_daily_timefirstcall,call_outgoing_daily_timelastcall,call_outgoing_daily_countmostfrequentcontact,call_missed_daily_count,call_missed_daily_distinctcontacts,call_missed_daily_timefirstcall,call_missed_daily_timelastcall,call_missed_daily_countmostfrequentcontact,location_daily_locationvariance,location_daily_loglocationvariance,location_daily_totaldistance,location_daily_averagespeed,location_daily_varspeed,location_daily_circadianmovement,location_daily_numberofsignificantplaces,location_daily_numberlocationtransitions,location_daily_radiusgyration,location_daily_timeattop1location,location_daily_timeattop2location,location_daily_timeattop3location,location_daily_movingtostaticratio,location_daily_outlierstimepercent,location_daily_maxlengthstayatclusters,location_daily_minlengthstayatclusters,location_daily_stdlengthstayatclusters,location_daily_meanlengthstayatclusters,location_daily_locationentropy,location_daily_normalizedlocationentropy,call_incoming_daily_count,call_incoming_daily_distinctcontacts,call_incoming_daily_meanduration,call_incoming_daily_sumduration,call_incoming_daily_minduration,call_incoming_daily_maxduration,call_incoming_daily_stdduration,call_incoming_daily_modeduration,call_incoming_daily_entropyduration,call_incoming_daily_timefirstcall,call_incoming_daily_timelastcall,call_incoming_daily_countmostfrequentcontact,ar_daily_count,ar_daily_mostcommonactivity,ar_daily_countuniqueactivities,ar_daily_activitychangecount,ar_daily_sumstationary,ar_daily_summobile,ar_daily_sumvehicle,bluetooth_daily_countscans,bluetooth_daily_uniquedevices,bluetooth_daily_countscansmostuniquedevice
10,2020-11-06,1440,5,885,149,0.1034722222,222.3119833,30.06661667,0.00755,1.492026734,3.395276812,23.33333333,,1,,,,,1,,,,0.002777777778,,,0,,,,0,0,0,82548,1375.8,233.8928336,1246,2568,,,,,,1,1,0,0,0,0,,0,,1215,1215,0,,,,,,0.001703647569,-2.768620242,42717.86167,22.50277998,549.4877532,0.7624010059,6,7,4043.759733,969,147,75,0.9104166667,0.006864988558,609,9,199.3134701,163.875,0.9251519994,0.1541919999,,,,,,,,,,,,,1471,3,3,250,1009.350617,200.7023667,54.86525,,,
11,2020-11-07,1389,7,863,120,0.08633093525,300.4987167,55.80493333,0.0153,2.504155972,6.46281571,35.18333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,184.25,737,0,616,292.6458326,6,0.4802841186,626,1051,0,,,,,,0.003924260826,-2.406242135,52301.11327,23.75972731,863.6792261,1.255364627,8,9,6134.009196,780,114,108,0.8768898488,0.004926108374,630,6,175.1969178,121.8,1.279990423,0.1599988029,1,1,1451,1451,1451,1451,,1451,0,1053,1053,0,1531,3,4,296,922.8683667,237.3554833,54.12103333,,,
12,2020-11-08,446,1,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,1,0,0,444,,,0.9932885906,0,444,444,0,444,0,0,,,,,,,,,,,,,307,3,1,0,445.7,,,,,
13,2020-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1128,3,4,225,891.7491333,246.95675,96.7462,,,
14,2020-11-01,527,2,284,55,0.1037735849,112.7770167,22.0686,0.01521666667,2.050491212,4.030337489,874.8,,1.983333333,,,,,1,,,,0.005509259259,,,0,,,,0,0,0,113526,954,846.4967388,0,2348,,,,,,,,,,,,,,,,,,1,1,1014,1014,1,4.28E-09,-8.368614399,19.83491229,14.87455288,,-4.546740312,1,0,0,528,,,0.9943502825,0,528,528,0,528,0,0,,,,,,,,,,,,,1311,3,3,107,1303.181133,49.73298333,13.43108333,,,
15,2020-11-02,1440,2,594,141,0.09791666667,218.0820667,17.20375,0.00595,1.546681324,2.867176774,499.5833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,815,1345,0,6.78E-05,-4.16875998,7179.338239,11.93613735,47.41704071,-0.4957172736,2,2,1419.795135,1290,108,,0.9708333333,0,1155,108,487.3212493,466,0.2720089785,0.1360044893,1,1,2314,2314,2314,2314,,2314,0,720,720,1,1364,3,3,133,1332.975333,10.54511667,7.836333333,,,
16,2020-11-03,1440,5,907,177,0.1229166667,235.0448333,29.36671667,0.0164,1.327936911,3.228060583,0.1666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,716,874,0,6.37E-07,-6.196146827,1558.389772,5.126536935,0.486125339,-3.123490266,2,3,13.98988025,1308,99,,0.9833679834,0.008456659619,669,12,301.0136002,354.75,0.2545755454,0.1272877727,,,,,,,,,,,,,1639,3,2,136,1323.083717,39.8025,,,,
17,2020-11-04,1440,2,1164,153,0.10625,362.0302833,28.90738333,0.01103333333,2.366211002,5.244066844,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,1,0,0,1440,,,1,0,1440,1440,0,1440,0,0,,,,,,,,,,,,,1590,3,2,120,1355.2937,13.14063333,,,,
18,2020-11-05,1440,2,1291,172,0.1194444444,272.6557833,21.20871667,0.01073333333,1.585208043,2.960474045,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,49.5,99,26,73,33.23401872,26,0.580836525,684,763,1,,,,,,7.11E-05,-4.148282187,13526.90645,11.27358736,70.69758197,-0.9630437965,3,3,186.5067092,684,612,39,0.9416666667,0.01548672566,684,21,310.1120765,339,0.8033964759,0.2677988253,,,,,,,,,,,,,1500,3,4,172,1147.390117,74.73428333,41.24815,,,
19,2020-11-06,1440,3,1129,180,0.125,207.97445,18.48871667,0.01548333333,1.155413611,2.095824119,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,952,952,0,0.003938671643,-2.404650224,59636.75558,32.19428366,1445.994695,1.20889799,11,13,5313.972372,555,120,111,0.9020833333,0.01385681293,555,6,134.630276,92.78571429,1.905693407,0.1732448552,2,2,19.5,39,13,26,9.192388155,13,0.6493346811,31,33,0,1483,3,4,188,1036.569817,147.4788833,72.74146667,,,
